sample,fastq_1,fastq_2,antibody,control
MCF10A_WT_HIGH_REP1,data/input/raw_data/chipseq/H2AZ/ChIP_005_MCF10A_WT_IgG_high_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_005_MCF10A_WT_IgG_high_R2.fastq.gz,,
MCF10A_WT_HIGH_REP2,data/input/raw_data/chipseq/H2AZ/ChIP_006_MCF10A_WT_IgG_high_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_006_MCF10A_WT_IgG_high_R2.fastq.gz,,
MCF10A_WT_LOW_REP1,data/input/raw_data/chipseq/H2AZ/ChIP_007_MCF10A_WT_IgG_low_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_007_MCF10A_WT_IgG_low_R2.fastq.gz,,
MCF10A_WT_LOW_REP2,data/input/raw_data/chipseq/H2AZ/ChIP_008_MCF10A_WT_IgG_low_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_008_MCF10A_WT_IgG_low_R2.fastq.gz,,
MCF10A_WT_H2AZ_HIGH_REP1,data/input/raw_data/chipseq/H2AZ/ChIP_001_MCF10A_WT_H2AZ_high_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_001_MCF10A_WT_H2AZ_high_R2.fastq.gz,H2AZ,MCF10A_WT_HIGH_REP1
MCF10A_WT_H2AZ_HIGH_REP2,data/input/raw_data/chipseq/H2AZ/ChIP_002_MCF10A_WT_H2AZ_high_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_002_MCF10A_WT_H2AZ_high_R2.fastq.gz,H2AZ,MCF10A_WT_HIGH_REP2
MCF10A_WT_H2AZ_LOW_REP1,data/input/raw_data/chipseq/H2AZ/ChIP_003_MCF10A_WT_H2AZ_low_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_003_MCF10A_WT_H2AZ_low_R2.fastq.gz,H2AZ,MCF10A_WT_LOW_REP1
MCF10A_WT_H2AZ_LOW_REP2,data/input/raw_data/chipseq/H2AZ/ChIP_004_MCF10A_WT_H2AZ_low_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_004_MCF10A_WT_H2AZ_low_R2.fastq.gz,H2AZ,MCF10A_WT_LOW_REP2
MCF10A_C1_HIGH_REP1,data/input/raw_data/chipseq/H2AZ/ChIP_013_MCF10A_C1_IgG_high_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_013_MCF10A_C1_IgG_high_R2.fastq.gz,,
MCF10A_C1_HIGH_REP2,data/input/raw_data/chipseq/H2AZ/ChIP_014_MCF10A_C1_IgG_high_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_014_MCF10A_C1_IgG_high_R2.fastq.gz,,
MCF10A_C1_LOW_REP1,data/input/raw_data/chipseq/H2AZ/ChIP_015_MCF10A_C1_IgG_low_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_015_MCF10A_C1_IgG_low_R2.fastq.gz,,
MCF10A_C1_LOW_REP2,data/input/raw_data/chipseq/H2AZ/ChIP_016_MCF10A_C1_IgG_low_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_016_MCF10A_C1_IgG_low_R2.fastq.gz,,
MCF10A_C1_H2AZ_HIGH_REP1,data/input/raw_data/chipseq/H2AZ/ChIP_009_MCF10A_C1_H2AZ_high_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_009_MCF10A_C1_H2AZ_high_R2.fastq.gz,H2AZ,MCF10A_C1_HIGH_REP1
MCF10A_C1_H2AZ_HIGH_REP2,data/input/raw_data/chipseq/H2AZ/ChIP_010_MCF10A_C1_H2AZ_high_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_010_MCF10A_C1_H2AZ_high_R2.fastq.gz,H2AZ,MCF10A_C1_HIGH_REP2
MCF10A_C1_H2AZ_LOW_REP1,data/input/raw_data/chipseq/H2AZ/ChIP_011_MCF10A_C1_H2AZ_low_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_011_MCF10A_C1_H2AZ_low_R2.fastq.gz,H2AZ,MCF10A_C1_LOW_REP1
MCF10A_C1_H2AZ_LOW_REP2,data/input/raw_data/chipseq/H2AZ/ChIP_012_MCF10A_C1_H2AZ_low_R1.fastq.gz,data/input/raw_data/chipseq/H2AZ/ChIP_012_MCF10A_C1_H2AZ_low_R2.fastq.gz,H2AZ,MCF10A_C1_LOW_REP2
