sample,fastq_1,fastq_2,antibody,control
MCF10A_WT_REP1,data/input/raw_data/chipseq/H3K27ac/ChIP_003_MCF10A_WT_IgG_R1.fastq.gz,,,
MCF10A_WT_REP2,data/input/raw_data/chipseq/H3K27ac/ChIP_004_MCF10A_WT_IgG_R2.fastq.gz,,,
MCF10A_T1_REP1,data/input/raw_data/chipseq/H3K27ac/ChIP_007_MCF10A_T1_IgG_R1.fastq.gz,,,
MCF10A_T1_REP2,data/input/raw_data/chipseq/H3K27ac/ChIP_008_MCF10A_T1_IgG_R2.fastq.gz,,,
MCF10A_C1_REP1,data/input/raw_data/chipseq/H3K27ac/ChIP_011_MCF10A_C1_IgG_R1.fastq.gz,,,
MCF10A_C1_REP2,data/input/raw_data/chipseq/H3K27ac/ChIP_012_MCF10A_T1_IgG_R2.fastq.gz,,,
MCF10A_WT_H3K_REP1,data/input/raw_data/chipseq/H3K27ac/ChIP_001_MCF10A_WT_H3K27ac_R1.fastq.gz,,H3K27ac,MCF10A_WT_REP1
MCF10A_WT_H3K_REP2,data/input/raw_data/chipseq/H3K27ac/ChIP_002_MCF10A_WT_H3K27ac_R2.fastq.gz,,H3K27ac,MCF10A_WT_REP2
MCF10A_T1_H3K_REP1,data/input/raw_data/chipseq/H3K27ac/ChIP_005_MCF10A_T1_H3K27ac_R1.fastq.gz,,H3K27ac,MCF10A_T1_REP1
MCF10A_T1_H3K_REP2,data/input/raw_data/chipseq/H3K27ac/ChIP_006_MCF10A_T1_H3K27ac_R2.fastq.gz,,H3K27ac,MCF10A_T1_REP2
MCF10A_C1_H3K_REP1,data/input/raw_data/chipseq/H3K27ac/ChIP_009_MCF10A_C1_H3K27ac_R1.fastq.gz,,H3K27ac,MCF10A_C1_REP1
MCF10A_C1_H3K_REP2,data/input/raw_data/chipseq/H3K27ac/ChIP_010_MCF10A_C1_H3K27ac_R2.fastq.gz,,H3K27ac,MCF10A_C1_REP2
