sample_id	new_sample_id	condition	seq_type	contrast
MCF10A_WT_REP1		MCF10A_WT	paired-end
MCF10A_WT_REP2		MCF10A_WT	paired-end
MCF10A_WT_REP3		MCF10A_WT	paired-end
MCF10A_REP1_T1	MCF10A_T1_REP1	MCF10A_T1	paired-end	MCF10A_WT
MCF10A_REP2_T1	MCF10A_T1_REP2	MCF10A_T1	paired-end	MCF10A_WT
MCF10A_REP3_T1	MCF10A_T1_REP3	MCF10A_T1	paired-end	MCF10A_WT
MCF10A_C1_REP1		MCF10A_C1	paired-end	MCF10A_WT,MCF10A_T1
MCF10A_C1_REP2		MCF10A_C1	paired-end	MCF10A_WT,MCF10A_T1
MCF10A_C1_REP3		MCF10A_C1	paired-end	MCF10A_WT,MCF10A_T1

