sample,fastq_1,fastq_2,strandedness
MCF10A_WT_REP1,data/input/raw_data/rnaseq/RNAseq_019_MCF10A_WT_R1.fastq.gz,data/input/raw_data/rnaseq/RNAseq_019_MCF10A_WT_R2.fastq.gz,auto
MCF10A_WT_REP2,data/input/raw_data/rnaseq/RNAseq_020_MCF10A_WT_R1.fastq.gz,data/input/raw_data/rnaseq/RNAseq_020_MCF10A_WT_R2.fastq.gz,auto
MCF10A_WT_REP3,data/input/raw_data/rnaseq/RNAseq_021_MCF10A_WT_R1.fastq.gz,data/input/raw_data/rnaseq/RNAseq_021_MCF10A_WT_R2.fastq.gz,auto
MCF10A_T1_REP1,data/input/raw_data/rnaseq/RNAseq_004_MCF10A_T1_R1.fastq.gz,data/input/raw_data/rnaseq/RNAseq_004_MCF10A_T1_R2.fastq.gz,auto
MCF10A_T1_REP2,data/input/raw_data/rnaseq/RNAseq_005_MCF10A_T1_R1.fastq.gz,data/input/raw_data/rnaseq/RNAseq_005_MCF10A_T1_R2.fastq.gz,auto
MCF10A_T1_REP3,data/input/raw_data/rnaseq/RNAseq_006_MCF10A_T1_R1.fastq.gz,data/input/raw_data/rnaseq/RNAseq_006_MCF10A_T1_R2.fastq.gz,auto
MCF10A_C1_REP1,data/input/raw_data/rnaseq/RNAseq_007_MCF10A_C1_R1.fastq.gz,data/input/raw_data/rnaseq/RNAseq_007_MCF10A_C1_R2.fastq.gz,auto
MCF10A_C1_REP2,data/input/raw_data/rnaseq/RNAseq_008_MCF10A_C1_R1.fastq.gz,data/input/raw_data/rnaseq/RNAseq_008_MCF10A_C1_R2.fastq.gz,auto
MCF10A_C1_REP3,data/input/raw_data/rnaseq/RNAseq_009_MCF10A_C1_R1.fastq.gz,data/input/raw_data/rnaseq/RNAseq_009_MCF10A_C1_R2.fastq.gz,auto

